category_code,URL,category_id,subcategory_id
TPW1073767,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roofing-felt-adhesive/TPW1073767.cat,15,66
TPW638609,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/routers/TPW638609.cat,15,67
TPW768185,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/clocks/TPW768185.cat,17,77
TPW822398,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/toilet-brushes/TPW822398.cat,5,24
TPW623226,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/TPW623226.cat,15,67
TPW579463,https://www.trade-point.co.uk/departments/lighting/indoor-lights/wall-lights/TPW579463.cat,2,10
TPW780365,https://www.trade-point.co.uk/departments/outdoor-garden/plants-seeds-bulbs/TPW780365.cat,13,52
TPW1726732,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/TPW1726732.cat,17,77
TPW1625677,https://www.trade-point.co.uk/departments/painting-decorating/decorating-tools-supplies/tapes/TPW1625677.cat,13,56
TPW638616,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/screwdrivers/TPW638616.cat,17,77
TPW579501,https://www.trade-point.co.uk/departments/lighting/outdoor-lights/wall-lights/TPW579501.cat,2,10
TPW581240,https://www.trade-point.co.uk/departments/outdoor-garden/greenhouses-growhouses/TPW581240.cat,9,39
TPW570202,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roofing-sheets/TPW570202.cat,15,66
TPW570170,https://www.trade-point.co.uk/departments/building-supplies/plastering-supplies/ceiling-roses/TPW570170.cat,15,68
TPW1233724,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/carpet/TPW1233724.cat,14,4
TPW1374375,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/bath-taps/bath-shower-mixer-taps/TPW1374375.cat,25,5
TPW1726700,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/cushions/TPW1726700.cat,76,17
TPW1652289,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/air-treatment/TPW1652289.cat,6,1
TPW579496,https://www.trade-point.co.uk/departments/lighting/outdoor-lights/security-lighting/TPW579496.cat,2,10
TPW570114,https://www.trade-point.co.uk/departments/building-supplies/bricks-blocks/TPW570114.cat,15,78
TPW580651,https://www.trade-point.co.uk/departments/hardware/nails/TPW580651.cat,15,62
TPW1726712,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/wall-art/TPW1726712.cat,17,76
TPW1586248,https://www.trade-point.co.uk/departments/outdoor-garden/fencing/garden-trellis-screening/TPW1586248.cat,9,46
TPW637279,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/drills/TPW637279.cat,17,77
TPW580653,https://www.trade-point.co.uk/departments/hardware/fixings-plugs/TPW580653.cat,15,62
TPW580871,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/mirrors/TPW580871.cat,76,17
TPW822176,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/TPW822176.cat,5,25
TPW763205,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/TPW763205.cat,15,65
TPW1066875,https://www.trade-point.co.uk/departments/tools-equipment/site-equipment/cement-mixers-accessories/cement-mixers/TPW1066875.cat,16,67
TPW638904,https://www.trade-point.co.uk/departments/tools-equipment/safety-workwear/workwear/work-trousers/TPW638904.cat,16,74
TPW1374376,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/bath-taps/hot-cold-bath-pillar-taps/TPW1374376.cat,5,25
TPW780138,https://www.trade-point.co.uk/departments/lighting/light-bulbs/TPW780138.cat,2,10
TPW822120,https://www.trade-point.co.uk/departments/bathroom/showers/mixer-showers/TPW822120.cat,5,25
TPW638613,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/TPW638613.cat,16,67
TPW765472,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-supplies/TPW765472.cat,4,14
TPW580650,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/TPW580650.cat,10,50
TPW765575,https://www.trade-point.co.uk/departments/flooring-tiling/tiling-grouts-sealers-adhesives/grout/TPW765575.cat,4,17
TPW1255308,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/storage-cabinets/TPW1255308.cat,17,76
TPW570176,https://www.trade-point.co.uk/departments/building-supplies/plastering-supplies/plasterboard/TPW570176.cat,15,79
TPW581016,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/throws-blankets/TPW581016.cat,76,17
TPW580647,https://www.trade-point.co.uk/departments/hardware/brackets/TPW580647.cat,17,76
TPW1281869,https://www.trade-point.co.uk/departments/bathroom/showers/digital-showers/TPW1281869.cat,5,20
TPW589044,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sanding/TPW589044.cat,13,56
TPW638850,https://www.trade-point.co.uk/departments/tools-equipment/tarpaulins-sheets-sacks/TPW638850.cat,16,67
TPW585828,https://www.trade-point.co.uk/departments/outdoor-garden/garden-buildings/log-cabins/TPW585828.cat,9,39
TPW1249339,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roof-tiles/TPW1249339.cat,15,66
TPW824275,https://www.trade-point.co.uk/departments/kitchen/kitchen-worktops/edging-strips/TPW824275.cat,6,29
TPW822487,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/bedding/TPW822487.cat,17,76
TPW637982,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/breakers-demolition/TPW637982.cat,16,67
TPW580679,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/clothes-storage-shoe-racks/TPW580679.cat,17,76
TPW580691,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/door-locks-latches/TPW580691.cat,10,47
TPW780402,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/lawnmowers/TPW780402.cat,16,61
TPW579318,https://www.trade-point.co.uk/departments/electrical-security/telephones-accessories/TPW579318.cat,2,8
TPW638641,https://www.trade-point.co.uk/departments/tools-equipment/site-equipment/trolleys-carts/TPW638641.cat,16,67
TPW566469,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-supplies/scotias-floor-trims/TPW566469.cat,4,15
TPW1652448,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/central-heating/underfloor-heating/TPW1652448.cat,4,18
TPW1255303,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/storage-drawers/TPW1255303.cat,17,76
TPW822369,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/air-treatment/extractor-fans/TPW822369.cat,1,6
TPW581249,https://www.trade-point.co.uk/departments/outdoor-garden/fencing/garden-railings/TPW581249.cat,39,9
TPW580699,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/padlocks/TPW580699.cat,10,47
TPW585873,https://www.trade-point.co.uk/departments/outdoor-garden/garden-buildings/shed-bases/TPW585873.cat,9,39
TPW566454,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/flooring-samples/TPW566454.cat,4,15
TPW822109,https://www.trade-point.co.uk/departments/bathroom/showers/electric-showers/TPW822109.cat,5,20
TPW1652457,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/central-heating/water-heaters/TPW1652457.cat,1,2
TPW822122,https://www.trade-point.co.uk/departments/bathroom/showers/riser-rails-head-holders/TPW822122.cat,5,25
TPW594239,https://www.trade-point.co.uk/departments/outdoor-garden/arches-arbours-pergolas/gazebos/TPW594239.cat,9,39
TPW822123,https://www.trade-point.co.uk/departments/bathroom/showers/shower-heads/TPW822123.cat,5.20
TPW822362,https://www.trade-point.co.uk/departments/bathroom/bathroom-worktops/TPW822362.cat,5,21
TPW638900,https://www.trade-point.co.uk/departments/tools-equipment/safety-workwear/workwear/work-jackets/TPW638900.cat,16,74
TPW824274,https://www.trade-point.co.uk/departments/kitchen/kitchen-worktops/worktop-installation/TPW824274.cat,6,31
TPW570201,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roofing-felt/TPW570201.cat,15,66
TPW566441,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/vinyl-flooring/self-adhesive-vinyl-tiles/TPW566441.cat,4,14
TPW765574,https://www.trade-point.co.uk/departments/flooring-tiling/tiling-grouts-sealers-adhesives/tiling-adhesives/TPW765574.cat,4,17
TPW581014,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/rugs-mats/rugs/TPW581014.cat,17,76
TPW780421,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/pressure-washers/TPW780421.cat,16,61
TPW1727931,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/storage-trunks/TPW1727931.cat,17,76
TPW585890,https://www.trade-point.co.uk/departments/outdoor-garden/fencing/fence-panels/TPW585890.cat,9,44
TPW589037,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/routing/TPW589037.cat,16,67
TPW566438,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/vinyl-flooring/TPW566438.cat,4,15
TPW637455,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/multi-tools-hobby-tools/TPW637455.cat,16,67
TPW780439,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/cutting-pruning/TPW780439.cat,16,67
TPW1255297,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/storage-boxes/TPW1255297.cat,17,76
TPW1374370,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/bath-taps/bath-mixer-taps/TPW1374370.cat,5,25
TPW566442,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/underlay-floor-preparation/TPW566442.cat,4,15
TPW822108,https://www.trade-point.co.uk/departments/bathroom/showers/TPW822108.cat,5,20
TPW638585,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/planers/TPW638585.cat,16,67
TPW763134,https://www.trade-point.co.uk/departments/building-supplies/plastering-supplies/TPW763134.cat,15,68
TPW824276,https://www.trade-point.co.uk/departments/kitchen/kitchen-worktops/end-caps-joints/TPW824276.cat,6,29
TPW566440,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/vinyl-flooring/self-adhesive-vinyl-planks/TPW566440.cat,4,14
TPW585826,https://www.trade-point.co.uk/departments/outdoor-garden/arches-arbours-pergolas/pergolas/TPW585826.cat,9,39
TPW822177,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/basin-taps/TPW822177.cat,5,25
TPW638751,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/TPW638751.cat,16,67
TPW580660,https://www.trade-point.co.uk/departments/hardware/hinges/TPW580660.cat,10,47
TPW1652461,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/fires-stoves-electric-heating/stoves/TPW1652461.cat,1,5
TPW1326521,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/curtains-blinds-shutters/blinds/TPW1326521.cat,15,65
TPW1652460,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/fires-stoves-electric-heating/fires/TPW1652460.cat,1,5
TPW824243,https://www.trade-point.co.uk/departments/kitchen/kitchen-appliances/microwaves/TPW824243.cat,6,32
TPW765576,https://www.trade-point.co.uk/departments/flooring-tiling/tiling-grouts-sealers-adhesives/tile-sealants/TPW765576.cat,4,17
TPW566439,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/vinyl-flooring/sheet-vinyl/TPW566439.cat,4,15
TPW570175,https://www.trade-point.co.uk/departments/building-supplies/plastering-supplies/plaster/TPW570175.cat,15,68
TPW585829,https://www.trade-point.co.uk/departments/outdoor-garden/garden-buildings/summerhouses/TPW585829.cat,9,39
TPW592697,https://www.trade-point.co.uk/departments/building-supplies/roofing-supplies/roof-sealants/TPW592697.cat,15,66
TPW581229,https://www.trade-point.co.uk/departments/outdoor-garden/decking/TPW581229.cat,9,44
TPW1652323,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/air-treatment/air-conditioners/TPW1652323.cat,1,6
TPW581246,https://www.trade-point.co.uk/departments/outdoor-garden/fencing/garden-gates/TPW581246.cat,9,44
TPW580648,https://www.trade-point.co.uk/departments/hardware/furniture-hardware/TPW580648.cat,17,77
TPW580659,https://www.trade-point.co.uk/departments/hardware/handles-knobs/TPW580659.cat,17,77
TPW581012,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/rugs-mats/door-mats/TPW581012.cat,17,77
TPW1652541,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/fires-stoves-electric-heating/fireplace-suites/TPW1652541.cat,1,5
TPW580715,https://www.trade-point.co.uk/departments/hardware/pins-rivets-staples/TPW580715.cat,15,62
TPW1625690,https://www.trade-point.co.uk/departments/painting-decorating/decorating-tools-supplies/glues-adhesives/TPW1625690.cat,15,60
TPW1022893,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/kits-twinpacks/TPW1022893.cat,16,67
TPW592560,https://www.trade-point.co.uk/departments/outdoor-garden/paving-walling/sleepers/TPW592560.cat,9,46
TPW1374382,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/basin-taps/basin-mixer-taps/TPW1374382.cat,5,25
TPW824281,https://www.trade-point.co.uk/departments/kitchen/kitchen-cabinets/cabinet-drawer-boxes/TPW824281.cat,6,29
TPW1419560,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/batteries-chargers/TPW1419560.cat,16,67
TPW1326509,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/curtains-blinds-shutters/curtains/TPW1326509.cat,15,65
TPW822121,https://www.trade-point.co.uk/departments/bathroom/showers/power-showers/TPW822121.cat,5,20
TPW580655,https://www.trade-point.co.uk/departments/hardware/screws/TPW580655.cat,15,62
TPW585087,https://www.trade-point.co.uk/departments/outdoor-garden/decking/decking-boards/TPW585087.cat,15,70
TPW623156,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/tool-kits/TPW623156.cat,16,67
TPW585875,https://www.trade-point.co.uk/departments/outdoor-garden/garden-storage/TPW585875.cat,9,39
TPW822124,https://www.trade-point.co.uk/departments/bathroom/showers/shower-hoses/TPW822124.cat,5,26
TPW765615,https://www.trade-point.co.uk/departments/hardware/builder-s-metalwork/TPW765615.cat,15,78
TPW589067,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sawing-blades/TPW589067.cat,16,67
TPW1652542,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/fires-stoves-electric-heating/fire-surrounds/TPW1652542.cat,1,5
TPW581242,https://www.trade-point.co.uk/departments/outdoor-garden/garden-buildings/sheds/TPW581242.cat,9,39
TPW637450,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/angle-grinders/TPW637450.cat,16,67
TPW822125,https://www.trade-point.co.uk/departments/bathroom/showers/shower-head-kits/TPW822125.cat,5,20
TPW585796,https://www.trade-point.co.uk/departments/outdoor-garden/arches-arbours-pergolas/garden-arbours/TPW585796.cat,9,39
TPW570178,https://www.trade-point.co.uk/departments/building-supplies/plastering-supplies/plaster-repair/TPW570178.cat,15,65
TPW566471,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-supplies/thresholds-t-bars-reducers/TPW566471.cat,4,15
TPW585797,https://www.trade-point.co.uk/departments/outdoor-garden/arches-arbours-pergolas/garden-arches/TPW585797.cat,9,39
TPW1652469,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/plumbing/pipe-fittings/TPW1652469.cat,1,3
TPW1374385,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/basin-taps/hot-cold-basin-pillar-taps/TPW1374385.cat,5,25
TPW780457,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/digging-planting-soil-care/shovels/TPW780457.cat,16,61
TPW1652471,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/plumbing/pipes/TPW1652471.cat,1,3
TPW951529,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/luxury-vinyl-click-flooring/TPW951529.cat,4,14
TPW566433,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/laminate-flooring/TPW566433.cat,4,15
TPW566476,https://www.trade-point.co.uk/departments/flooring-tiling/tile-trims/TPW566476.cat,4,17
TPW580883,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/picture-frames/TPW580883.cat,17,77
TPW780377,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/TPW780377.cat,16,61
TPW1739948,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/impact-drivers-wrenches/TPW1739948.cat,16,67
TPW566453,https://www.trade-point.co.uk/departments/flooring-tiling/flooring-underlay/solid-wood-flooring/TPW566453.cat,4,14
TPW579431,https://www.trade-point.co.uk/departments/lighting/light-fixtures-fittings/TPW579431.cat,2,10
TPW579439,https://www.trade-point.co.uk/departments/lighting/indoor-lights/ceiling-lights/TPW579439.cat,2,10
TPW1652327,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/air-treatment/dehumidifiers/TPW1652327.cat,1,6
TPW638887,https://www.trade-point.co.uk/departments/tools-equipment/safety-workwear/workwear/TPW638887.cat,16,74
TPW638761,https://www.trade-point.co.uk/departments/lighting/torches-worklights/TPW638761.cat,16,67
TPW636168,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/screwdrivers-keys/TPW636168.cat,16,67
TPW765616,https://www.trade-point.co.uk/departments/hardware/builder-s-metalwork/connector-plates/TPW765616.cat,15,78
TPW1375926,https://www.trade-point.co.uk/departments/electrical-security/children-s-safety/TPW1375926.cat,2,9
TPW1655190,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/plumbing/pipe-fittings/olives/TPW1655190.cat,1,3
TPW822179,https://www.trade-point.co.uk/departments/bathroom/bathroom-taps/bath-taps/TPW822179.cat,5,25
TPW589047,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sanding/sanding-belts/TPW589047.cat,16,67
TPW822400,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/grab-rails/TPW822400.cat,5,26
TPW592566,https://www.trade-point.co.uk/departments/outdoor-garden/paving-walling/walling-coping/TPW592566.cat,9,46
TPW637211,https://www.trade-point.co.uk/departments/tools-equipment/ladders-steps/work-platforms/TPW637211.cat,16,75
TPW637131,https://www.trade-point.co.uk/departments/tools-equipment/ladders-steps/combination-ladders/TPW637131.cat,16,75
TPW580736,https://www.trade-point.co.uk/departments/hardware/fixings-plugs/cavity-insulation-fittings/TPW580736.cat,15,62
TPW830177,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/tile-saws/TPW830177.cat,16,67
TPW1655197,https://www.trade-point.co.uk/departments/heating-plumbing-cooling/plumbing/pipe-fittings/tees/TPW1655197.cat,1,3
TPW580719,https://www.trade-point.co.uk/departments/hardware/pins-rivets-staples/rivets/TPW580719.cat,16,62
TPW780463,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/rakes-weeding-clearing/rakes/TPW780463.cat,16,61
TPW585084,https://www.trade-point.co.uk/departments/outdoor-garden/decking/decking-kits/TPW585084.cat,9,44
TPW623193,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/cable-strippers-crimpers/cable-strippers/TPW623193.cat,16,67
TPW637294,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/drills/hammer-drills/TPW637294.cat,16,67
TPW822390,https://www.trade-point.co.uk/departments/bathroom/bathroom-accessories/bathroom-scales/TPW822390.cat,5,26
TPW824249,https://www.trade-point.co.uk/departments/kitchen/kitchen-appliances/waste-disposal-units/TPW824249.cat,6,29
TPW589069,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sawing-blades/jigsaw-blades/TPW589069.cat,16,67
TPW780456,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/digging-planting-soil-care/spades/TPW780456.cat,16,61
TPW824272,https://www.trade-point.co.uk/departments/kitchen/kitchen-worktops/worktops/TPW824272.cat,6,31
TPW637210,https://www.trade-point.co.uk/departments/tools-equipment/ladders-steps/step-stools/TPW637210.cat,16,75
TPW623238,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/squares/TPW623238.cat,16,67
TPW984927,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sanding/sanding-rolls/TPW984927.cat,16,67
TPW892536,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/bedding/pillows/TPW892536.cat,17,77
TPW580675,https://www.trade-point.co.uk/departments/hardware/furniture-hardware/wardrobe-rails-fittings/TPW580675.cat,17,76
TPW638760,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/tool-boxes/TPW638760.cat,16,67
TPW822363,https://www.trade-point.co.uk/departments/bathroom/bathroom-worktops/worktops/TPW822363.cat,5,19
TPW768181,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/bottles-vases-jars/TPW768181.cat,17,76
TPW831349,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/door-locks-latches/multi-point-locks/TPW831349.cat,10,50
TPW585128,https://www.trade-point.co.uk/departments/outdoor-garden/decking/decking-steps/TPW585128.cat,9,44
TPW623228,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/cutting-guide/TPW623228.cat,16,67
TPW1022873,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/mitre-saws/TPW1022873.cat,16,67
TPW1739947,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/drills/angle-drills/TPW1739947.cat,16,67
TPW768180,https://www.trade-point.co.uk/departments/home-furniture-storage/home-furnishings/home-accessories/ornaments/TPW768180.cat,17,76
TPW579450,https://www.trade-point.co.uk/departments/lighting/indoor-lights/counter-cabinet-lighting/TPW579450.cat,2,10
TPW1150016,https://www.trade-point.co.uk/departments/hardware/locks-padlocks/door-locks-latches/night-latches/TPW1150016.cat,10,50
TPW1066895,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/saws/table-saws/TPW1066895.cat,16,67
TPW638754,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/tool-belts-and-holders/TPW638754.cat,16,67
TPW1484079,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/clothes-storage-shoe-racks/vacuum-storage-bags/TPW1484079.cat,17,77
TPW636191,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/screwdrivers-keys/plumbing-keys/TPW636191.cat,16,67
TPW581230,https://www.trade-point.co.uk/departments/outdoor-garden/garden-hand-tools-equipment/bins-sacks/TPW581230.cat,16,61
TPW623234,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/rules/TPW623234.cat,16,67
TPW822130,https://www.trade-point.co.uk/departments/bathroom/wet-rooms/installation-kits-components/TPW822130.cat,5,20
TPW1739959,https://www.trade-point.co.uk/departments/tools-equipment/power-tools/batteries-chargers/batteries/TPW1739959.cat,16,67
TPW780428,https://www.trade-point.co.uk/departments/outdoor-garden/garden-power-tools/leaf-blowers-garden-vacs/TPW780428.cat,16,61
TPW623236,https://www.trade-point.co.uk/departments/tools-equipment/hand-tools/measures-levels/spirit-levels/TPW623236.cat,16,67
TPW589063,https://www.trade-point.co.uk/departments/tools-equipment/power-tool-accessories/sanding/sanding-pads/TPW589063.cat,16,67
TPW585085,https://www.trade-point.co.uk/departments/outdoor-garden/decking/decking-accessories/TPW585085.cat,9,44
TPW1727990,https://www.trade-point.co.uk/departments/home-furniture-storage/storage-shelving/clothes-storage-shoe-racks/clothes-wardrobe-organisers/TPW1727990.cat,17,77
TPW638759,https://www.trade-point.co.uk/departments/tools-equipment/tool-storage/tool-bags/TPW638759.cat,16,67
